sno,h,sub_h,link
197,"Tamil Nadu: CRPF sub-inspector, wife die in Virudhnagar road mishap",A sub-inspector of police from the Central Reserve Police Force (CRPF) and his wife were killed in a Road accident near Krishnankovil in Virudhunagar district on Friday.,https://timesofindia.indiatimes.com/city/madurai/tamil-nadu-crpf-sub-inspector-wife-die-in-virudhnagar-road-mishap/articleshow/81243813.cms
198,Pedestrians most victims in fatal Road accidents in Trichy,,https://timesofindia.indiatimes.com/city/trichy/pedestrians-most-victims-in-fatal-road-accidents-in-trichy/articleshow/80470735.cms
199,Software engineer killed in Road accident,,https://timesofindia.indiatimes.com/city/coimbatore/software-engineer-killed-in-road-accident/articleshow/78115246.cms
200,Villagers block road after man dies in accident near Ariyalur,,https://timesofindia.indiatimes.com/city/trichy/villagers-block-road-after-man-dies-in-accident-near-ariyalur/articleshow/81113153.cms
201,Youth dies in a Road accident,,https://timesofindia.indiatimes.com/city/chennai/youth-dies-in-a-road-accident/articleshow/77954532.cms
202,Tamil Nadu: Puzhal prison guard killed in Road accident,,https://timesofindia.indiatimes.com/city/chennai/tamil-nadu-puzhal-prison-guard-killed-in-road-accident/articleshow/81453279.cms
203,"AMMK functionary, son die in Road accident near Pudukottai",,https://timesofindia.indiatimes.com/city/chennai/ammk-functionary-son-dies-in-road-accident-near-pudukottai/articleshow/80898354.cms
204,Road accidents in Madurai district down by 15% in 2020,,https://timesofindia.indiatimes.com/city/madurai/road-accidents-in-madurai-district-down-by-15-in-2020/articleshow/80179255.cms
205,"Two killed, 18 injured in Road accident",,https://timesofindia.indiatimes.com/city/madurai/two-killed-18-injured-in-road-accident/articleshow/78941870.cms
206,Youth killed in hit and run accident near Madurai,,https://timesofindia.indiatimes.com/city/madurai/youth-killed-in-hit-and-run-accident-near-madurai/articleshow/80683955.cms
207,Pillion rider killed in hit-and-run Road accident,A 40-year-old pillion rider was killed in a hit-and-run case in Madurai district on Thursday.,https://timesofindia.indiatimes.com/city/madurai/pillion-rider-killed-in-hit-and-run-road-accident/articleshow/81226271.cms
208,"Tamil Nadu: As traffic resumes, nine die in Road accidents in 2 districts",Coimbatore/ Return of traffic on roads and opening of Tasmac shops have resulted in an increase in accident cases.Nine people died in separate incidents in Coimbatore and Krishnagiri districts on Friday.,https://timesofindia.indiatimes.com/city/chennai/tamil-nadu-as-traffic-resumes-nine-die-in-road-accidents-in-2-districts/articleshow/75638937.cms
209,Tamil Nadu AIDS Control Society joint director dies in Road accident near Trichy,,https://timesofindia.indiatimes.com/city/chennai/tamil-nadu-aids-control-society-joint-director-dies-in-road-accident-near-trichy/articleshow/80600207.cms
210,Salem district SP reopens former CM Jayalalithaa’s car driver Road accident death case,,https://timesofindia.indiatimes.com/city/chennai/salem-district-sp-reopens-former-cm-jayalalithaas-car-driver-death-case/articleshow/87182324.cms
211,21 injured as bus turns upside down near Trichy,,https://timesofindia.indiatimes.com/city/trichy/21-injured-as-bus-turns-upside-down-near-trichy/articleshow/80406175.cms
212,Policewoman dies in Madurai Road accident,,https://timesofindia.indiatimes.com/city/madurai/policewoman-dies-in-madurai-road-accident/articleshow/77121758.cms
213,Four friends die in Road accident in Coimbatore,Four friends died in a Road accident after the vehicle they were travelling in collided head-on with another car on Sathyamangalam-Sirumugai road near Rangampalayam in Coimbatore district on Saturday.,https://timesofindia.indiatimes.com/city/coimbatore/four-friends-die-in-road-accident-in-coimbatore/articleshow/78479798.cms
214,Tamil Nadu: Truck driver dies in Road accident in Madurai,,https://timesofindia.indiatimes.com/city/madurai/tamil-nadu-truck-driver-dies-in-road-accident-in-madurai/articleshow/80670248.cms
215,Chennai corporation plans road safety cell to study accidents,A road safety cell will soon be set up in the city to study accidents and their causes and come up with comprehensive measures to reduce them.,https://timesofindia.indiatimes.com/city/chennai/chennai-corporation-plans-road-safety-cell-to-study-accidents/articleshow/80162998.cms
216,"Woman, son die in Road accident near Madurai",,https://timesofindia.indiatimes.com/city/madurai/woman-son-die-in-road-accident-near-madurai/articleshow/79580325.cms
217,Tamil Nadu: Road accident deaths in Dindigul drop in 2020 as compared to 2019,,https://timesofindia.indiatimes.com/city/madurai/tamil-nadu-road-accident-deaths-in-dindigul-drop-in-2020-as-compared-to-2019/articleshow/80074112.cms
218,"Lecturer, 36, dies in Road accident in Perambalur",,https://timesofindia.indiatimes.com/city/trichy/lecturer-36-dies-in-road-accident-in-perambalur/articleshow/78306108.cms
219,14 buffaloes being transported to Kerala killed in Tamil Nadu Road accident,,https://timesofindia.indiatimes.com/city/chennai/14-buffaloes-being-transported-to-kerala-killed-in-tamil-nadu-road-accident/articleshow/80048033.cms
220,Parcel truck driver dies in Coimbatore Road accident,,https://timesofindia.indiatimes.com/city/chennai/parcel-truck-driver-dies-in-coimbatore-road-accident/articleshow/79319808.cms
221,Five Karnataka women die in Tamil Nadu Road accident,,https://timesofindia.indiatimes.com/city/chennai/five-karnataka-women-die-in-tamil-nadu-road-accident/articleshow/79842114.cms
222,Chennai Corporation health inspector dies in Road accident,,https://timesofindia.indiatimes.com/city/chennai/chennai-corporation-health-inspector-dies-in-road-accident/articleshow/79094422.cms
223,Four cops injured in Road accident,,https://timesofindia.indiatimes.com/city/madurai/four-cops-injured-in-road-accident/articleshow/76376686.cms
224,"Four killed, 7 injured as truck ploughs through vehicles in Tamil Nadu's Dharmapuri","Four people died and seven others were injured when a container truck carrying cement load ploughed through 12 cars, a mini-van, a truck and a bike on the Thoppur ghat road of the Salem-Bengaluru National Highway near Dharmapuri around 4.15pm on Saturday. The truck was heading to Salem from Andhra Pradesh.",https://timesofindia.indiatimes.com/city/coimbatore/four-killed-7-injured-as-truck-ploughs-through-vehicles-in-dharmapuri/articleshow/79699897.cms
225,"Three die, one injured in Road accident on Trichy-Madurai national highway","Just when a multi-vehicle collision in Dharmapuri district of Tamil Nadu claimed four lives on Saturday evening, three people were spot dead in another Road accident on Trichy-Madurai national highway the same evening.",https://timesofindia.indiatimes.com/city/madurai/three-die-one-injured-in-road-accident-on-trichy-madurai-national-highway/articleshow/79697966.cms
226,Four die in multi-vehicle collision in Tamil Nadu,,https://timesofindia.indiatimes.com/city/chennai/four-die-in-multi-vehicle-collision-in-tamil-nadu/articleshow/79697226.cms
227,4 of family killed in Road accident near Palani,,https://timesofindia.indiatimes.com/city/madurai/4-of-family-killed-in-road-accident-near-palani/articleshow/78818511.cms
228,Road accident deaths fall by more than half in city,,https://timesofindia.indiatimes.com/city/coimbatore/road-accident-deaths-fall-by-more-than-half-in-city/articleshow/79686372.cms
229,Six die in Road accident near Tamil Nadu’s Krishnagiri,,https://timesofindia.indiatimes.com/city/chennai/six-die-in-road-accident-near-tamil-nadus-krishnagiri/articleshow/80627638.cms
230,"Four killed, three injured in Road accident in Sirumugai",,https://timesofindia.indiatimes.com/city/coimbatore/four-killed-three-injured-in-road-accident-in-sirumugai/articleshow/78481728.cms
231,Madurai: Special sub-inspector of Usilampatti taluk killed in Road accident,,https://timesofindia.indiatimes.com/city/madurai/madurai-special-sub-inspector-of-usilampatti-taluk-killed-in-road-accident/articleshow/79112915.cms
232,"Engineers of bad roads that kill people can be booked, but in Tamil Nadu they go scot-free","Every year, at least 100 people get killed and 700 are injured in accidents on potholed roads across Tamil Nadu. Of this, nearly one-third is in Chennai. Though road engineers from the concerned local body or highways department and the contractor, who laid or repaired the stretch, could be held accountable, hardly police book them for contributory negligence.",https://timesofindia.indiatimes.com/city/chennai/engineers-of-bad-roads-that-kill-peoplecan-be-booked-but-in-tn-they-go-scot-free/articleshow/79048354.cms
233,Six pilgrims from Nepal die in Tamil Nadu Road accident,"Six pilgrims from Nepal, including two women, died and 25 others sustained injuries when an omnibus rammed a minibus near Omalur in Salem district of Tamil Nadu in the early hours on Thursday.",https://timesofindia.indiatimes.com/city/salem/six-pilgrims-from-nepal-die-in-tamil-nadu-road-accident/articleshow/74219701.cms
234,Coimbatore: Pillion riders more prone to accidents,"As many as 297 people lost their lives in Road accidents across the district till October 25 compared to 387 during the same period last year, superintendent of police Ara Arularasu said.",https://timesofindia.indiatimes.com/city/coimbatore/pillion-riders-more-prone-to-accidents/articleshow/78880682.cms
235,Two die in Road accident near Chennai,,https://timesofindia.indiatimes.com/city/chennai/two-die-in-road-accident-near-chennai/articleshow/76913408.cms
236,"Coimbatore: Underage driving: 14-yr-old boy, 32-year-old man killed",A minor boy who was riding a scooter and a 32-year-old man on a motorcycle were killed in a Road accident in Mettupalayam on Friday.,https://timesofindia.indiatimes.com/city/coimbatore/underage-driving-14-yr-old-boy-32-year-old-man-killed/articleshow/78850280.cms
237,Govt bus confiscated for failure to compensate Road accident victim,,https://timesofindia.indiatimes.com/city/coimbatore/govt-bus-confiscated-for-failure-to-compensate-road-accident-victim/articleshow/79330600.cms
238,Coimbatore woman bitten by snake during Road accident dies,,https://timesofindia.indiatimes.com/city/coimbatore/coimbatore-woman-bitten-by-snake-during-road-accident-dies/articleshow/78848033.cms
239,Three women from Haryana killed in Road accident,Three women tourists from Haryana were killed when a speeding private bus hit the van in which they were travelling near Thirumangalam in Madurai district on Saturday morning.,https://timesofindia.indiatimes.com/city/madurai/three-women-from-haryana-killed-in-road-accident/articleshow/74036018.cms
240,"DMDK man, father-in-law killed in Road accident",,https://timesofindia.indiatimes.com/city/salem/dmdk-man-father-in-law-killed-in-road-accident/articleshow/78817108.cms
241,"74 dead in 439 Road accidents in 3 months in Trichy district, says data","Even as the Covid-19 lockdowns have significantly cut down public mobility, in the past three months Trichy district reported 439 Road accidents of which 74 were fatal. After analysing the causes that lead to Road accidents, the state highways department has reactivated the data management system (RADMS) meeting involving the stakeholders to suggest plausible solutions for reducing fatalities.",https://timesofindia.indiatimes.com/city/trichy/74-dead-in-439-road-accidents-in-3-months-in-trichy-dist-says-data/articleshow/78738730.cms
242,Four die in two Road accidents near Pudukkottai,,https://timesofindia.indiatimes.com/city/trichy/four-die-in-two-road-accidents-near-pudukkottai/articleshow/77916087.cms
