sno,h,sub_h,link
19,West Bengal: 4 killed in pickup van-rickshaw collision,"Four people were killed and five others injured as a pick-up van collided head-on with a motorised rickshaw in West Bengal's Malda district, police said on Thursday. The accident happened in Goalbari in Habibpur police station area around 9.30 pm on Wednesday, they said.",https://timesofindia.indiatimes.com/city/kolkata/west-bengal-4-killed-in-pickup-van-rickshaw-collision/articleshow/92410440.cms
20,"Kolkata: Biker dead, 4 hurt in 2 Road accidents","A biker died and four others were seriously injured in two separate accidents reported since Thursday evening. In the Taratala Road accident, a biker lost his life and the pillion rider suffered serious injuries when they dashed into the rear part of a private bus after the latter suddenly stopped. The bike crashed into the bus, throwing the two occupants on the road.",https://timesofindia.indiatimes.com/city/kolkata/kolkata-biker-dead-4-hurt-in-2-road-accidents/articleshow/94107249.cms
21,Kolkata: Nine injured in two accidents,"Kolkata: Nine people were injured in two separate accidents on Saturday. Four persons received injuries when two buses collided at the APC Road-Rani Swarnamayee Road crossing. Five more, including two on a bike, were injured when it collided with an auto on SP Mukherjee Road. tnn",https://timesofindia.indiatimes.com/city/kolkata/nine-injured-in-two-accidents/articleshow/92627353.cms
22,Kolkata: Biker dies in Road accident,"A biker wearing a inadequately fastened helmet was killed on Wednesday morning after his vehicle skidded on a Sector V road and his head hit the wheels of a bus ferrying students of an engineering college in New Town, Kolkata.",https://timesofindia.indiatimes.com/city/kolkata/kolkata-biker-dies-in-road-accident/articleshow/90549104.cms
23,"West Bengal: 18 dead, 6 injured in Road accident in Nadia","18 people were killed and 6 injured after a speeding hearse, carrying a dead person along with family members and kin for the last rites of the deceased, hit a stone laden truck in West Bengal's Nadia district late in wee hours of Sunday.",https://timesofindia.indiatimes.com/city/kolkata/west-bengal-18-dead-5-injured-in-road-accident-in-nadia/articleshow/87958600.cms
24,SDPO injured in Road accident,,https://timesofindia.indiatimes.com/city/kolkata/sdpo-injured-in-road-accident/articleshow/88194277.cms
25,Kolkata: App cab driver returning from Eid celebrations killed in Road accident,"The driver was taken to a local hospital and from there to RG Kar Medical College and Hospital, 16 kms away, where he was declared dead on arrival.",https://timesofindia.indiatimes.com/city/kolkata/kolkata-app-cab-driver-returning-from-eid-celebrations-killed-in-road-accident/articleshow/92788146.cms
26,"Covid deaths, accident toll treated as post-poll murders: Bengal",,https://timesofindia.indiatimes.com/city/kolkata/covid-deaths-accident-toll-treated-as-post-poll-murders-bengal/articleshow/85882015.cms
27,Two killed as motorcycle rams into truck in West Bengal,"Two men on a motorcycle were killed after their two-wheeler rammed into a truck from behind in West Bengal's Alipurduar district early on Friday, police said.",https://timesofindia.indiatimes.com/city/kolkata/two-killed-as-motorcycle-rams-into-truck-in-west-bengal/articleshow/80060047.cms
28,"3 killed, 1 injured in E Burdwan Road accident",,https://timesofindia.indiatimes.com/city/kolkata/3-killed-1-injured-in-e-burdwan-road-accident/articleshow/84875038.cms
29,"Cop killed, several injured after bus hits Fort William wall in Kolkata","A police constable died and 13 others suffered injuries on Thursday when a bus carrying passengers hit the wall adjoining a gate of Fort William -- the Army's Eastern Command headquarters -- with its driver having lost control on the wheels, an officer said.",https://timesofindia.indiatimes.com/city/kolkata/cop-killed-several-injured-after-bus-hits-fort-william-wall-in-kolkata/articleshow/84036006.cms
30,"14 killed, 18 injured as car runs into truck in West Bengal's Dhupguri","Fourteen people, five of them children, were killed and 18 injured in a Road accident in Dhupguri around 9pm on Tuesday when a vehicle, in which they were travelling, collided head-on with a stone-laden 10-wheeler truck, causing the truck to overturn and dump its load on two other vehicles.",https://timesofindia.indiatimes.com/city/kolkata/14-killed-18-injured-as-car-runs-into-truck-in-dhupguri/articleshow/80375890.cms
31,Red Road accident: Bus driver hid among injured,,https://timesofindia.indiatimes.com/city/kolkata/red-road-accident-bus-driver-hid-among-injured/articleshow/84155114.cms
32,14 feared dead in truck accident in West Bengal's Jalpaiguri,Fourteen people were feared dead and several others were injured when a boulder-laden truck overturned and fell on three small vehicles near Jaldhaka Bridge at Dhupguri in Jalpaiguri late on Tuesday.,https://timesofindia.indiatimes.com/city/kolkata/14-feared-dead-in-truck-accident/articleshow/80354746.cms
33,3 killed in motorcycle-truck collision in West Bengal,"Three persons were killed after the motorcycle they were travelling on collided with a truck in West Bengal's Nadia district on Monday, police said.",https://timesofindia.indiatimes.com/city/kolkata/3-killed-in-motorcycle-truck-collision-in-west-bengal/articleshow/80333504.cms
34,"One killed, three injured in Road accident in Kolkata","One person was killed and three others, including a policeman, were injured when a speeding four-wheeler hit them in the southern part of the city's Kasba area on Friday morning, police said. Four persons, including the driver of the BMW, were arrested, police said.",https://timesofindia.indiatimes.com/city/kolkata/one-killed-three-injured-in-road-accident-in-kolkata/articleshow/82456333.cms
35,Three killed in Road accident in Kolkata,Three people returning home in a mini-truck after cremating a close relative were killed in a Road accident on Jessore Road near Michaelnagar when the vehicle turned upside down possibly due to a burst tyre in the early hours Tuesday.,https://timesofindia.indiatimes.com/city/kolkata/three-killed-in-road-accident-in-kolkata/articleshow/80119976.cms
36,"4 killed, 4 injured in 5 Road accidents",,https://timesofindia.indiatimes.com/city/kolkata/4-killed-4-injured-in-5-road-accidents/articleshow/82055184.cms
37,One killed after speeding bus rams into bike in Kolkata,A speeding private bus that had hit a biker from behind caught fire after the driver tried to speed away with the bike still trapped under the vehicle grazing against the ground as sparks came off in the process punctured the oil tank setting the bus on fire.,https://timesofindia.indiatimes.com/city/kolkata/one-killed-after-bike-rams-into-bus-in-kolkata/articleshow/79448168.cms
38,"West Bengal: Senior police officer, 2 others killed in Road accident",A senior officer of West Bengal Police and two others were killed when their car hit a stranded truck in Hooghly district on Friday.,https://timesofindia.indiatimes.com/city/kolkata/west-bengal-senior-police-officer-2-others-killed-in-road-accident/articleshow/78054304.cms
39,"Kolkata: One killed, another severely injured in two separate accidents",A 47-year-old man was killed while another was severely injured in two separate accidents in Kolkata on Friday.,https://timesofindia.indiatimes.com/city/kolkata/kolkata-one-killed-another-severely-injured-in-two-separate-accidents/articleshow/74141135.cms
40,"West Bengal: At least four killed, seven injured in Road accident in Burdwan","In a tragic accident, a speeding truck mowed down as many as 11 people, killing at least four in the spot, in West Bengal's Burdwan district on Wednesday.",https://timesofindia.indiatimes.com/city/kolkata/west-bengal-at-least-four-killed-seven-injured-in-road-accident-in-burdwan/articleshow/81195559.cms
41,12 picnickers injured in Road accident in West Bengal,The incident happened at 7.30 am in Jinjira Bazar area.,https://timesofindia.indiatimes.com/city/kolkata/12-picnickers-injured-in-road-accident-in-west-bengal/articleshow/74177245.cms
42,Kolkata: Eight injured in Road accident,"At least eight persons, including six women were injured in a Road accident at Mayo road here on Sunday, police said.",https://timesofindia.indiatimes.com/city/kolkata/kolkata-eight-injured-in-road-accident/articleshow/71140563.cms
43,"Two killed, six injured in four accidents across Kolkata",At least two persons were killed and six seriously injured in four different accidents across the city.,https://timesofindia.indiatimes.com/city/kolkata/2-killed-6-injured-in-4-accidents-across-city/articleshow/71192406.cms
44,Kolkata: Four of Tollygunge family killed in Uttar Pradesh accident,Four members of a family from Tollygunge were killed in a Road accident when their car collided with a trailer on Agra-Lucknow Expressway at Etawah in Uttar Pradesh in the wee hours of Thursday.,https://timesofindia.indiatimes.com/city/kolkata/kolkata-four-of-tollygunge-family-killed-in-uttar-pradesh-accident/articleshow/74608076.cms
45,Kolkata: Three injured in separate Road accidents,Three persons were injured in three separate accidents in the city on Sunday.,https://timesofindia.indiatimes.com/city/kolkata/kolkata-three-injured-in-separate-road-accidents/articleshow/71880578.cms
46,"Kolkata: One killed, another hurt in 2 accidents","A 60-year-old pedestrian was killed after being run over by an unidentified vehicle on Aurobindo Sarani around 10.55pm. Rajkumar Dutta, a resident of Nimu Goswami Lane, was taken to RG Kar Hospital where he was declared brought dead. Cops are checking CCTV footage to ascertain the driver’s identity.",https://timesofindia.indiatimes.com/city/kolkata/one-killed-another-hurt-in-2-accidents/articleshow/74261866.cms
47,Kolkata: Man dies in a Road accident,One person died and another person was injured in two separate accidents in South Kolkata on Wednesday. The body was sent for post-mortem.,https://timesofindia.indiatimes.com/city/kolkata/kolkata-man-dies-in-a-road-accident/articleshow/71411143.cms
48,West Bengal man killed in truck accident,"A 33-year-old resident of West Midnapore’s Nayagram died after being hit by a truck on Chowbaga Road on Saturday. Cops took victim Subrata Sinha to a private nursing home near Ruby crossing, where he was declared brought dead. The truck driver drove away from the spot after the accident.",https://timesofindia.indiatimes.com/city/kolkata/man-killed-in-truck-accident/articleshow/73363348.cms
49,Kolkata: Five injured in Road accidents across city,,https://timesofindia.indiatimes.com/city/kolkata/kolkata-five-injured-in-road-accidents-across-city/articleshow/69623003.cms
50,Two bikers killed in late night accidents in Kolkata,,https://timesofindia.indiatimes.com/city/kolkata/two-bikers-killed-in-late-night-accidents-in-kolkata/articleshow/72321315.cms
