sno,h,sub_h,link
21,"Maharashtra registers 24,000 Road accidents till September this year, 11,000 dead","Maharashtra registered 24,360 Road accidents in the nine months from January to September this year, a marked rise of 3,127 accidents over the corresponding period last year.",https://timesofindia.indiatimes.com/city/aurangabad/maharashtra-registers-24000-road-accidents-till-september-this-year-11000-dead/articleshow/95725198.cms
22,"Vaishali Road accident: Truck driver was intoxicated, cops say","The police on Monday confirmed that the truck driver Lalu Kumar, who ran over his vehicle on 15 people in Vaishali district and killed eight, was driving under the influence of alcohol. The accused has been arrested in an injured condition and admitted to the Sadar Hospital for treatment.",https://timesofindia.indiatimes.com/city/patna/vaishali-road-accident-truck-driver-was-intoxicated-cops-say/articleshow/95668010.cms
23,"4 die, 2 injured in Gopalganj Road accident in Bihar",Four persons died on the spot while two others sustained injuries in a Road accident under Shripur Thana outpost in Gopalganj district on Thursday night.,https://timesofindia.indiatimes.com/city/patna/4-die-2-injured-in-gopalganj-road-accident-in-bihar/articleshow/97812149.cms
24,"Bihar: 2 die, 1 injured in Gopalganj Road accident",Two persons were killed after their car rammed into the boundary wall of a private school on the Hathua-Mirganj main road under Hathua police station area in Gopalganj district around 3.30am on Sunday.,https://timesofindia.indiatimes.com/city/patna/2-die-1-injured-in-bihars-gopalganj-road-accident/articleshow/95647213.cms
25,Youth and minor girl from Delhi killed in accident on Maharashtra's Samruddhi,"A 19-year-old youth and 14-year-old girl from Delhi were killed in a suspected Road accident on the Samruddhi Super Expressway. The deceased youth has been identified as Aseem alias Buchan Abbas of JJ Colony, Delhi. The fatal accident took place on Tuesday evening near the Sawangi Bridge, and the area falls within the jurisdiction of the Phulambri Police Station of Aurangabad Rural. On learning about the accident, police teams went to the spot and shifted the bodies to the Government Medical College and Hospital. The teens' families were informed of the accident, but due to the delay in their arrival to claim the bodies, the police got the bodies shifted to Mortuary-Based Cold Storage. Police said they are in touch with their Delhi counterparts to check if any missing complaints or a case of kidnapping had been registered with them. Sub-Inspector Damodar Waghmare, who is the investigation officer, said the police are also trying to ascertain if the two Delhi teens were trying to cross the Super Expressway when they were run over by a speeding goods truck or did they take any extreme step. A truck bearing a Tamil Nadu registration number has been seized and a case has been registered against its",https://timesofindia.indiatimes.com/city/aurangabad/youth-and-minor-girl-from-delhi-killed-in-accident-on-samruddhi/articleshow/97158440.cms
26,"6,626 killed in Road accidents last year in Bihar, most victims youth","In 2022, 6626 people died in Road accidents in Bihar. In 2021, 5476 people got injured in Road accidents, and 7660 people were killed in Road accidents. In 2020, 8639 people were killed in Road accidents. State transport commissioner Seema Tripathi said that the majority of victims are in the young age group, especially college students who drive vehicles carelessly or overtake other vehicles or speeding. ""During the road safety week from January 11 to 17, awareness drive will be held in all districts of Bihar through radio jingles, nukad natak' and short movies to sensitise commuters to drive safely by following motor vehicles act,"" she said. ""The department is also taking measures to curb s by identifying not only the black spots but also the vulnerable points black spots are such areas where 10 accidents and 10 deaths took place within a year and the vulnerable points are those where more than three persons died and less than 10 accidents took place within a year. With the help of the nhai road construction department and rural works department, we are trying to identify the problems in such black spots and vulnerable points across the state. Measures like speed breakers, rumble strips, signage, zebra crossing and street lights are being taken as per",https://timesofindia.indiatimes.com/city/patna/6626-killed-in-road-accidents-last-year-in-state-most-victims-youth/articleshow/96926794.cms
27,"6,626 killed and 5,476 injured in Road accidents across state last yr","In 2022, 6626 people died in Road accidents in Bihar. In 2021, 5476 people got injured in Road accidents, and 7660 people were killed in Road accidents. In 2020, 8639 people were killed in Road accidents. State transport commissioner Seema Tripathi said that the majority of victims are in the young age group, especially college students who drive vehicles carelessly or overtake other vehicles or speeding. ""During the road safety week from January 11 to 17, awareness drive will be held in all districts of Bihar through radio jingles, nukad natak' and short movies to sensitise commuters to drive safely by following motor vehicles act,"" she said. ""The department is also taking measures to curb s by identifying not only the black spots but also the vulnerable points black spots are such areas where 10 accidents and 10 deaths took place within a year and the vulnerable points are those where more than three persons died and less than 10 accidents took place within a year. With the help of the nhai road construction department and rural works department, we are trying to identify the problems in such black spots and vulnerable points across the state. Measures like speed breakers, rumble strips, signage, zebra crossing and street lights are being taken as per",https://timesofindia.indiatimes.com/city/patna/6626-killed-and-5476-injured-in-road-accidents-across-state-last-yr/articleshow/96926774.cms
28,"Vaishali accident: Truck driver was drunk, say police","The police on Monday confirmed that the truck driver Lalu Kumar, whose vehicle ran over at least eight persons and injured several others in Vaishali Sunday night, was drunk. He was arrested in an injured and inebriated condition and admitted to the Sadar Hospital for treatment.",https://timesofindia.indiatimes.com/city/patna/vaishali-accident-truck-driver-was-drunk-says-sp/articleshow/95673784.cms
29,Woman dies in Road accident,"A 55-year-old woman, Sushila Devi, was killed and her husband, Ramashray Yadav, got injured when a speeding bus hit their two-wheeler near Sanhauli fuel station under the Naubatpur police station area in Patha on Sunday.",https://timesofindia.indiatimes.com/city/patna/woman-dies-in-road-accident/articleshow/93419249.cms
30,"2 killed, 20 injured as bus rams into truck in Bihar's Vaishali",At least two persons were killed and 20 others injured after a bus they were travelling in rammed into a stationary truck in Bihar's Vaishali district.,https://timesofindia.indiatimes.com/city/patna/2-killed-20-injured-as-bus-rams-into-truck-in-bihars-vaishali/articleshow/95118210.cms
31,Bihar: 7 die in separate Road accidents in Begusarai,"Seven people, including a woman, were killed in separate Road accidents under various police stations of Begusarai district on Wednesday.",https://timesofindia.indiatimes.com/city/patna/bihar-7-die-in-separate-road-accidents-in-begusarai/articleshow/94692024.cms
32,Six killed in Road accident in Maharashtra's Beed,"Six people were killed after a car and a tempo collided head-on in Maharashtra's Beed district on Sunday morning, police said. The accident took place around 5.30am on Manjarsumba-Patoda highway, they said.",https://timesofindia.indiatimes.com/city/aurangabad/six-killed-in-road-accident-in-maharashtras-beed/articleshow/93552834.cms
33,Patna: Woman dies in Road accident,"A 55-year-old woman, Sushila Devi, was killed and her husband, Ramashray Yadav, got injured when a speeding bus hit their two-wheeler near Sanhauli fuel station under the Naubatpur police station area in Patha on Sunday.",https://timesofindia.indiatimes.com/city/patna/patna-woman-dies-in-road-accident/articleshow/93419403.cms
34,Bihar: Three killed in Road accidents in Begusarai,"Three persons, including a shopkeeper, died in separate Road accidents under Bachhwara police station area of Begusarai district on Saturday night.",https://timesofindia.indiatimes.com/city/patna/bihar-three-killed-in-road-accidents-in-begusarai/articleshow/93098561.cms
35,"5 killed, 7 hurt in Vaishali Road accident",At least five people were killed and seven others injured when a speeding truck rammed into a roadside eatery in Vaishali district on Wednesday. The incident occurred around 1.30pm near Bahuara Chowk on state highway-49 under the Patepur police station area in the district.,https://timesofindia.indiatimes.com/city/patna/5-killed-7-hurt-in-vaishali-road-accident/articleshow/93335925.cms
36,Bihar records over 7% decline in Road accidents,The number of Road accidents in the first three months of the year (January to March) has declined by 7.73% in the state when compared to the same period in 2021. The number of road fatalities also came down by 2.,https://timesofindia.indiatimes.com/city/patna/state-records-over-7-decline-in-road-accidents/articleshow/91358507.cms
37,"Ensure quick medical care to Road accident victims, min tells officials","State transport minister Sheela Kumari on Thursday instructed the officers concerned to ensure that the Road accident victims get immediate medical care during the “golden hour”, the first 60 minutes following an injury.",https://timesofindia.indiatimes.com/city/patna/ensure-quick-medical-care-to-road-accident-victims-min-tells-officials/articleshow/94547568.cms
38,"Ensure quick medical care to Road accident victims, says minister Sheela Kumari","State transport minister Sheela Kumari on Thursday instructed the officers concerned to ensure that the Road accident victims get immediate medical care during the “golden hour” period, the first 60 minutes following an injury.",https://timesofindia.indiatimes.com/city/patna/ensure-quick-medical-care-to-road-accident-victims-says-minister-sheela-kumari/articleshow/94547583.cms
39,Siwan boy lynched after Road accident,"A 16-year-old boy was lynched and his fawas seriously injured by the mob after their SUV hit a band group in Sevatapur Mouja village under Mairwa police station in Siwan district on Sunday. After the collision, a scuffle was broke out between Sunil Manjhi and member of the band group.",https://timesofindia.indiatimes.com/city/patna/siwan-boy-lynched-after-road-accident/articleshow/91879612.cms
40,"Five killed in Road accident in Bhagalpur, seven injured",Five people were killed and seven other got injured when a auto-rickshaw carrying a wedding party collided head on with a truck on the NH-31 in Naugachia in Bhagalpur district of Bihar on the intervening night of Monday and Tuesday.,https://timesofindia.indiatimes.com/city/patna/five-killed-as-truck-rams-into-auto-rickshaw-in-bihars-bhagalpur/articleshow/92207144.cms
41,Bihar: 4 killed in Road accident in Valmikinagar tiger reserve,Four people of a family were killed and as many critically injured after a car rammed into a tree in Valmikinagar Tiger Reserve in Bihar's West Champaran district.,https://timesofindia.indiatimes.com/city/patna/bihar-4-killed-in-road-accident-in-valmikinagar-tiger-reserve/articleshow/91611029.cms
42,"Bihar: Six die in Madhepura, Gaya Road accidents",Altogether six people were killed in two separate Road accidents in Madhepura and Gaya districts in last 24 hours.,https://timesofindia.indiatimes.com/city/patna/six-die-in-madhepura-gaya-road-accidents/articleshow/91040406.cms
