sno,h,sub_h,link
14,"Kerala home secretary V Venu, wife, son injured in Road accident","Kerala home secretary V Venu, his wife Sarada Muraleedharan who is the additional chief secretary of the local-self government department, son Sabari, driver Abhilash and family friends - Pranav and Saurav - were injured in an accident near Kayamkulam in Alappuzha district in the wee hours of Monday.",https://timesofindia.indiatimes.com/city/kochi/kerala-home-secretary-v-venu-wife-son-injured-in-road-accident/articleshow/96845591.cms
15,NCRB: 41 killed in 2-wheeler accidents in Kochi last year,Statistics of the National Crime Records Bureau (NCRB) for 2021 shows that in Kochi the most number of injuries due to Road accidents happened when the victims were travelling on two-wheelers.,https://timesofindia.indiatimes.com/city/kochi/ncrb-41-killed-in-2-wheeler-accidents-in-kochi-last-year/articleshow/95440186.cms
16,Death of skater in Road accident flags safety concerns,"The tragic death of Sreekaryam native Rahul Krishnan, 24, while skating near Greenfield stadium, has raised questions regarding road safety again.",https://timesofindia.indiatimes.com/city/thiruvananthapuram/death-of-skater-in-road-accident-flags-safety-concerns/articleshow/94693541.cms
17,Chain snatcher killed in Road accident,Two youths who were fleeing on a two-wheeler after snatching a golden chain of a woman at Thakkalai met with an accident at Pallichal near Naruvamoodu on Sunday. One among the youths was killed and the other got injured.,https://timesofindia.indiatimes.com/city/thiruvananthapuram/chain-snatcher-killed-in-road-accident/articleshow/91425874.cms
18,Five killed in separate Road accidents in Kerala,"As many as five people lost their lives in three separate accidents in Palakkad and Vadakara on Sunday. A couple was killed and four seriously injured in an accident when a tourist bus rammed a tempo traveller at Mangalam-Govindapuram state highway at Karipali, Mudappallur near Vadakkencherry on Sunday. The deceased couple, travelling in the tempo traveller, has been identified as Paily, 75, and his wife Rosli, 65, of Champakkad House, Arthungal, Cherthala.",https://timesofindia.indiatimes.com/city/kochi/five-killed-in-separate-road-accidents-in-kerala/articleshow/91732424.cms
19,Number of Road accidents on the rise in Ernakulam,"After a slight dip in the number of Road accidents in 2020 due to the pandemic-induced travel curbs, the number of accidents is again on the rise, shows the data of the state crime records bureau. As per the data, a total of 412 persons died in s in Ernakulam last year.",https://timesofindia.indiatimes.com/city/kochi/number-of-road-accidents-on-the-rise-in-ernakulam/articleshow/90768104.cms
20,Chain snatcher dies in Road accident in Thiruvananthapuram,"A 17-year-old boy, an accused in a chain snatching case, died on Sunday when the bike he was riding crashed into a road divider on the national highway at Paroorkuzhi Pallichal near Naruvamoodu here, police said.",https://timesofindia.indiatimes.com/city/thiruvananthapuram/chain-snatcher-dies-in-road-accident-in-thiruvananthapuram/articleshow/91422397.cms
21,Fisherman killed in Road accident,"A 60-year-old fisherman died on Thursday after succumbing to injuries he suffered in a Road accident that occurred under Varkala police station limits on Wednesday afternoon. Nazeer, son of late Mammoor and Ramna of Vettoor is the deceased.",https://timesofindia.indiatimes.com/city/thiruvananthapuram/fisherman-killed-in-road-accident/articleshow/89489488.cms
22,Ladakh Road accident: Malappuram native among seven killed,An Indian Army soldier hailing from Parappanangadi in Malappuram is among the seven soldiers who lost their lives after the army vehicle they were travelling in skidded off the road and fell in Shyok River in Ladakh on Friday.,https://timesofindia.indiatimes.com/city/kozhikode/ladakh-road-mishap-malappuram-native-among-seven-killed/articleshow/91846894.cms
23,Two men die in Road accidents,,https://timesofindia.indiatimes.com/city/thiruvananthapuram/two-men-die-in-road-accidents/articleshow/89047395.cms
