sno,h,sub_h,link
31,Trader killed in Road accident in Andhra Pradesh,"A 45-year-old trader was killed in a Road accident after his bike was hit by a bus near Venkannapalem in Chodavaram mandal in Anakapalle district. The deceased was identified as A Venkata Ramana, who was the owner of a hardware shop located at Sabbavaram town. Police said the incident took place when Ramana was returning to Sabbavaram from Chodavaram. A case has been registered and the body was shifted for post-mortem. Investigation is on. TNN",https://timesofindia.indiatimes.com/city/visakhapatnam/trader-killed-in-road-accident/articleshow/98378079.cms
32,Youth killed as tractor hits bike in Andhra Pradesh,A 22-year-old mason was killed in a Road accident after his bike was hit by a tractor near Kaspa street at Palakonda in Parvathipuram Manyam district.,https://timesofindia.indiatimes.com/city/visakhapatnam/youth-killed-as-tractor-hits-bike/articleshow/98790897.cms
33,15-year-old dies in Road accident in Anakapalle,"A 15-year-old-boy was killed in a Road accident near Geddapalem locality under S Rayavaram Mandal in Anakapalle district. The deceased was identified as Y Sairam, a native of Elamanchili. Police suspect that the boy died after being hit by an unidentified vehicle. A case has been registered and the body has been sent for postmortem.",https://timesofindia.indiatimes.com/city/visakhapatnam/15-year-old-dies-in-road-accident-in-anakapalle/articleshow/98531028.cms
34,2 die in Road accident in Andhra Pradesh's Palnadu,"Two persons died after a lorry rammed into their car near Ramakrishnapuram in Sattenaplli of Palnadu district. The deceased were identified as N Rajyamma (53) and her nephew Nagineni Suresh (35), a pastor",https://timesofindia.indiatimes.com/city/vijayawada/2-die-in-road-accident/articleshow/98422102.cms
35,Two workers die in Road accident in Krishna,A Bolero car with labourers overturned on the national highway at Veleru in Bapulapadu mandal of Krishna district.,https://timesofindia.indiatimes.com/city/vijayawada/two-workers-die-in-road-accident/articleshow/98032412.cms
36,Youth dies in Road accident,"A 24-year-old man was killed in a Road accident near Narapam village in Kothavalasa mandal in Vizianagaram district. The deceased was identified as Kj Sai, a native of Deverapalle in Anakapalle district. Police said the accident took place when Sai was returning from Vizag City to his home town on a bike. A case has been registered.",https://timesofindia.indiatimes.com/city/visakhapatnam/youth-dies-in-road-accident/articleshow/96842548.cms
37,Five persons killed in separate Road accidents,,https://timesofindia.indiatimes.com/city/visakhapatnam/five-persons-killed-in-separate-road-accidents/articleshow/97813620.cms
38,Two killed in lorry-bus collision in Anakapalle,Two persons were killed and over 20 people were injured in a Road accident when an RTC bus in which they were travelling was hit by a lorry near Dharmavaram under S Rayavaram mandal of Anakapalle district on Friday.,https://timesofindia.indiatimes.com/city/visakhapatnam/two-killed-in-lorry-bus-collision/articleshow/98223118.cms
39,Five killed in two Road accidents in Andhra Pradesh,"Five people — including three youngsters — were killed in two separate Road accidents that took place during the intervening night of Thursday and Friday, in Vizag city and Anakapalle district in Andhra Pradesh.",https://timesofindia.indiatimes.com/city/visakhapatnam/five-killed-in-two-road-accidents-in-andhra-pradesh/articleshow/97806256.cms
40,Four persons killed in two separate Road accidents in Andhra Pradesh,Four people were killed in two separate Road accidents in north AP.,https://timesofindia.indiatimes.com/city/visakhapatnam/four-persons-killed-in-two-separate-road-accidents/articleshow/97673809.cms
41,Sub-collector hurt in accident,"A subcollector from a division in Vijayawada was in a car accident on Saturday morning. He and two others were injured, and were taken to Ongole Government Hospital. The accident happened when a lorry coming from Cheemakurthy and going towards Podili collided with the subcollector's car at Uppalapadu Village. His assistant Mehboob Basha and driver Jani Basha also sustained minor injuries in the accident. The subcollector's car was registered a case and an investigation is underway.",https://timesofindia.indiatimes.com/city/vijayawada/sub-collector-hurt-in-accident/articleshow/97410265.cms
42,"Two kids die, 4 injured as speeding lorry rams car","A family of 10 was traveling to a wedding in a car when they were hit by a speeding lorry. The two children who died in the accident were 11-year-old Lingala Harish and 3-year-old Jaswitha. Four other people were injured, two of whom are in an ICU. The driver of the lorry has fled the scene and police are searching for him.",https://timesofindia.indiatimes.com/city/vijayawada/two-kids-die-4-injured-as-speeding-lorry-rams-car/articleshow/97389790.cms
