sno,h,sub_h,link
21,Road accident deaths in Odisha increase by 8.87% in first quarter,Deaths due to Road accidents in Odisha increased by 8.87% in the first quarter of 2021 as compared to the corresponding period in 2020.,https://timesofindia.indiatimes.com/city/bhubaneswar/road-accident-deaths-in-odisha-increase-by-8-87-in-first-quarter/articleshow/84074820.cms
22,"Speed up disposal of Road accident insurance claims, govt tells cops",The state government has asked police to expedite the disposal of cases related to insurance claims made by victims of Road accidents.,https://timesofindia.indiatimes.com/city/bhubaneswar/speed-up-disposal-of-road-accident-insurance-claims-govt-tells-cops/articleshow/90004063.cms
23,"Odisha to train 30,000 as first responders to Road accidents","Chief minister Naveen Patnaik on Wednesday launched a road safety initiative here called Rakshak - a first responders' training programme. Under this initiative, at least 30,000 volunteers, staying or working at eateries and different business establishments located near accident-prone spots, will be trained as first responders to s.",https://timesofindia.indiatimes.com/city/bhubaneswar/odisha-to-train-30000-as-first-responders-to-road-accidents/articleshow/87644376.cms
24,"Odisha: 9 dead, 13 injured after van overturns in Koratpur",Nine people lost their lives on Sunday and 13 suffered injuries after a van overturned in Kotpad of Odisha's Koraput district.,https://timesofindia.indiatimes.com/city/bhubaneswar/odisha-9-dead-13-injured-after-van-overturns-in-koratpur/articleshow/80621291.cms
25,Odisha govt stresses on joint inspection of Road accident spots,,https://timesofindia.indiatimes.com/city/bhubaneswar/odisha-govt-stresses-on-joint-inspection-of-road-accident-spots/articleshow/84866903.cms
26,Odisha records 11% fall in Road accident deaths in 2020,"Fatality rate in Road accidents in Odisha dropped by nearly 11% in 2020 as compared to 2019. According to the statistics of the state police, 4738 persons were killed in road mishaps in the state last year as against 5333 deaths in 2019.",https://timesofindia.indiatimes.com/city/bhubaneswar/odisha-records-11-fall-in-road-accident-deaths-in-2020/articleshow/80755046.cms
27,District monitoring committees to analyse Road accidents in Odisha,The state government has decided to constitute expert committees in each district to analyse causes of Road accidents and suggest remedial measures to minimize such mishaps. Additional district magistrate (ADM) will head the committee in districts.,https://timesofindia.indiatimes.com/city/bhubaneswar/district-monitoring-committees-to-analyse-road-accidents-in-odisha/articleshow/76792756.cms
28,Odisha IAS officer saves life of Road accident victim on lockdown evening,,https://timesofindia.indiatimes.com/city/bhubaneswar/odisha-ias-officer-saves-life-of-road-accident-victim-on-lockdown-evening/articleshow/82805213.cms
29,"Road accidents due to drink driving go up, but checking",,https://timesofindia.indiatimes.com/city/bhubaneswar/road-accidents-due-to-drink-driving-go-up-but-checking/articleshow/78025591.cms
30,Odisha govt seeks report from collectors on rising Road accident deaths,The state government has expressed strong displeasure over the rise in Road accident deaths and sought explanations from district collectors within fifteen days. The government also came down heavily on the police and regional transport officers (RTOs) for poor enforcement drives against the traffic violators.,https://timesofindia.indiatimes.com/city/bhubaneswar/odisha-govt-seeks-report-from-collectors-on-rising-road-accident-deaths/articleshow/79945870.cms
31,Seven killed in Road accidents in Odisha,"At least seven people, including a woman, were killed and as many seriously injured in separate Road accidents in Kendrapara, Ganjam, Balasore and Rayagada districts of Odisha since Wednesday, police said.",https://timesofindia.indiatimes.com/city/bhubaneswar/seven-killed-in-road-accidents-in-odisha/articleshow/73067572.cms
32,Road accident deaths go down in Odisha,"Number of deaths due to road mishaps reduced in October this year compared to the figures of last year by 18.69 per cent. Similarly, state witnessed 11.9 per cent less Road accident deaths in September this year against last September. Authorities attributed it to better implementation of traffic norms.",https://timesofindia.indiatimes.com/city/bhubaneswar/road-accident-deaths-go-down-in-odisha/articleshow/72874312.cms
33,"10 drown, 3 killed in Road accident after Holi celebrations in Odisha","At least 10 people drowned while bathing and three were killed in a Road accident after Holi celebrations in Odisha on Tuesday, police said.",https://timesofindia.indiatimes.com/city/bhubaneswar/10-drown-3-killed-in-road-accident-after-holi-celebrations-in-odisha/articleshow/74566137.cms
34,5 of family die in Kalahandi mishap,"Five members of a family were killed and two others seriously injured when the car in which they were travelling collided with a truck in Odisha's Kalahandi district early on Wednesday, police said.",https://timesofindia.indiatimes.com/city/bhubaneswar/five-killed-two-injured-in-road-accident-in-odisha/articleshow/69440921.cms
35,Kendrapada: Couple killed in Road accident,"The couple was riding pillion.While Ganesh Das (57) of Deriki village died on the spot, his wife Lata Das (55) succumbed to her injuries on her way to SCB medical college and hospital in Cuttack.",https://timesofindia.indiatimes.com/city/bhubaneswar/kendrapada-couple-killed-in-road-accident/articleshow/68736267.cms
36,Road accident deaths worry Odisha government,,https://timesofindia.indiatimes.com/city/bhubaneswar/road-accident-deaths-worry-odisha-government/articleshow/70142872.cms
