sno,h,sub_h,link
27,Two students killed in Road accident in Karnataka,Sources said the accident took place when they were returning after attending classes at a evening college.,https://timesofindia.indiatimes.com/city/mysuru/two-students-killed-in-road-accident-in-karnataka/articleshow/97067484.cms
28,Road accident leads to clash; 2 cases registered in Mangaluru,"Two cases were registered at the Surathkal police station on Wednesday, after an accident took place between a two-wheeler and a car, that led to a scuffle between two groups near Ganeshpura Circle.",https://timesofindia.indiatimes.com/city/mangaluru/road-accident-leads-to-clash-2-cases-registered/articleshow/97788342.cms
29,Yelahanka sees highest fatal Road accidents in Bengaluru,"Fatalities due to Road accidents continue to be the highest in Yelahanka. While 52 road fatalities were reported in the police station limits in 2021, the number stood at 40 in the first 10 months of this year.",https://timesofindia.indiatimes.com/city/bengaluru/yelahanka-sees-highest-fatal-road-accidents-in-bengaluru/articleshow/96183783.cms
30,"Man killed, 2 injured in Road accident","In an accident on Saturday, one person died and two others were injured. The deceased is Abdul Razak. The injured are a driver of a goods vehicle and a passenger of a school bus. A case has been filed at the Belthangady Traffic Police Station. Stalls for the Hindu Jagarana Vedike's annual festival are being auctioned, and they asked that non-Hindus not participate. The festival is scheduled to be held in the first week of January.",https://timesofindia.indiatimes.com/city/mangaluru/man-killed-2-injured-in-road-accident/articleshow/96489487.cms
31,Youth dies in Road accident on Mysuru-Bengaluru highway,A person died while another was seriously injured in an accident on the Mysurubiengaluru highway near Nidaghatta village in Maddur taluk on Saturday evening.,https://timesofindia.indiatimes.com/city/mysuru/youth-dies-in-road-accident/articleshow/96671795.cms
32,"Cop, wife die in Kalaburagi Road accident","A Sindagi police circle inspector and his wife died instantly when their car rammed a multi-wheel container parked by the roadside in Kalaburagi district early Wednesday.The deceased have been identified as Ravi Ukkunda, 43, and wife Madhu, 40.",https://timesofindia.indiatimes.com/city/hubballi/cop-wife-die-in-kalaburagi-road-accident/articleshow/96072396.cms
33,"6 pilgrims killed, 16 injured after goods vehicle rams into tree in Karnataka's Belagavi","Six pilgrims, including two children, were killed after the goods vehicle they were travelling in rammed into a roadside tree near Chinchanur village in Ramdurg taluk in the wee hours of Thursday.",https://timesofindia.indiatimes.com/city/hubballi/6-pilgrims-killed-16-injured-after-goods-vehicle-rams-into-tree-in-karnatakas-belagavi/articleshow/96755521.cms
34,"Annually 4.5 lakh die in Road accident, but little attention given to it: Bengaluru traffic police chief",,https://timesofindia.indiatimes.com/city/bengaluru/annually-4-5-lakh-die-in-road-accident-but-little-attention-given-to-it-bengaluru-traffic-chief/articleshow/98823965.cms
35,Karnataka: Two die in Road accident,"Two persons died on the spot when a motorbike collided with a speeding truck on Saturday night near Halagatti village in Ramdurg taluk. The deceased were identifed as Arjun Thimmanna Bandivaddar (40) of Hanamapur village, and Suvarna Basappa Holennavar (28) of Obalapur village.",https://timesofindia.indiatimes.com/city/hubballi/two-die-in-road-accident/articleshow/94905716.cms
36,Two die in Road accident,"Two masons on their way back home from Mysuru were killed in a ghastly Road accident near Nanjangud on Sunday. Mahadevappa (44) and Mahesh (43), both residents of Hegottara in Chamarajanagar district, died on the spot, Nanjangud traffic police confirmed.",https://timesofindia.indiatimes.com/city/mysuru/two-die-in-road-accident/articleshow/94314906.cms
37,3 of family killed in accident in Mangaluru,Three of a family died in an accident between a car and a private bus at Nellikaru inin Mangaluru at around 7.15 am on Saturday.,https://timesofindia.indiatimes.com/city/mangaluru/3-of-family-killed-in-accident-in-mangaluru/articleshow/96130382.cms
38,Three agri workers from AP killed in accident,"Three labourers were killed in a Road accident at Maski here late on Monday night. According to Maski police, the deceased are Nagaraj, 31, Srinivas, 26, and Jaypal, 19. They died on the spot when their bike rammed into a bus.",https://timesofindia.indiatimes.com/city/hubballi/three-agri-workers-from-ap-killed-in-accident/articleshow/96044166.cms
