sno,h,sub_h,link
26,"One killed, seven injured as private bus rams into goods carrier vehicle in Telangana's Sangareddy","One person died and seven others suffered injuries when a private travels bus rammed into a mini goods carrier vehile at Zaheerabad in Sangareddy district, Telangana on Tuesday.",https://timesofindia.indiatimes.com/city/hyderabad/one-killed-seven-injured-as-private-bus-rams-into-goods-carrier-vehicle-in-telanganas-sangareddy/articleshow/91459350.cms
27,Two workers die in Road accident,Two workers died in a Road accident in Nizamabad when the rider failed to control the bike at a curve and crashed on the road due to alleged rash driving on Sunday morning.,https://timesofindia.indiatimes.com/city/hyderabad/two-workers-die-in-road-accident/articleshow/89081669.cms
28,Two bikers die in separate Road accidents,"A 26-year-old man died in Film Nagar after he fell from his bike in the wee hours of Sunday. Banjara Hills police said that E Nagesh, who works as a driver in a film studio, was riding his bike between Film Nagar and Paramount Colony. Enroute, his bike skid and Nagesh fell.",https://timesofindia.indiatimes.com/city/hyderabad/two-bikers-die-in-separate-road-accidents/articleshow/89081671.cms
29,Two killed in road mishap in Jangaon,Two persons killed in Road accident after DCM van rammed into their bike in Namilakonda village outskirts of Jangaon on Tuesday night.,https://timesofindia.indiatimes.com/city/hyderabad/two-killed-in-road-mishap-in-jangaon/articleshow/88173815.cms
30,Telangana: Couple dies in Road accident,A couple travelling in the wrong direction died in a Road accident at Narsingi when their two wheeler was hit by a car on Monday. The car driver was under the influence of alcohol.,https://timesofindia.indiatimes.com/city/hyderabad/telangana-couple-dies-in-road-accident/articleshow/88125614.cms
31,Telangana: 3 killed as car crashes with vehicles in Hyderabad,,https://timesofindia.indiatimes.com/city/hyderabad/telangana-3-killed-as-car-crashes-with-vehicles-in-hyderabad/articleshow/89722223.cms
32,Telangana: 4 killed in RTC bus-car collision in Mulugu district,Four persons travelling in a car were killed as their vehicle was hit by an RTC bus at Mulugu on Saturday morning.,https://timesofindia.indiatimes.com/city/hyderabad/telangana-4-killed-in-rtc-bus-car-collision-in-mulugu-district/articleshow/89680655.cms
33,Auto driver killed in Road accident,,https://timesofindia.indiatimes.com/city/hyderabad/auto-driver-killed-in-road-accident/articleshow/87442422.cms
34,Two Road accidents claim five in Hyderabad,"Two Road accidents, one at Keesara and another in Vanasthalipuram, resulted in the deaths of five persons, including four students, on Wednesday.",https://timesofindia.indiatimes.com/city/hyderabad/two-road-accidents-claim-five-in-city/articleshow/87898624.cms
35,Road accidents in Telangana see a jump this year,"Telangana witnessed a spike in the number of Road accidents in 2021 as compared to the previous year, 2020. In 2021, a total number of 19,248 Road accident cases were registered whereas it was 16,898 cases in 2020 .",https://timesofindia.indiatimes.com/city/hyderabad/road-accidents-in-t-see-a-jump-this-year/articleshow/88625425.cms
36,Telangana: Couple dies as car crashes into truck in Nalgonda,A Mandal Parishad Territorial Constituency (MPTC) member and her husband died when the car they were travelling in crashed into a truck from behind at Hayathnagar in Telangana's Nalgonda district on Tuesday night.,https://timesofindia.indiatimes.com/city/hyderabad/telangana-couple-dies-as-car-crashes-into-truck-in-nalgonda/articleshow/85836010.cms
37,Telangana: Kids of Narsingi crash victims face uncertain future,"A week after losing her parents in a drunk driving crash, 11-year-old Chandrika consoles her two-year-old brother Manideep that they will return in the evening bringing loads of snacks. This has been her routine for the past 10 days since the accident took place. Manideep isn’t aware what death even means.",https://timesofindia.indiatimes.com/city/hyderabad/kids-of-narsingi-crash-victims-face-uncertain-future/articleshow/88307129.cms
38,"Hyderabad: Five years on, pain lingers over losing daughter, kin to crash","In 2016, a speeding car carrying a group of five youngsters rammed the divider and in to an oncoming car. The one behind the wheel was drunk and the resulting crash near Nagarjuna Circle resulted in the deaths of three persons, including nine-year-old Ramya. Ramya’s parents — Pammi Venkat Ramana and Radhika — and her sister Rishika are still reminded of the fateful day every time they take the Panjagutta flyover.",https://timesofindia.indiatimes.com/city/hyderabad/five-yrs-on-pain-lingers-over-losing-daughter-kin-to-crash/articleshow/88285535.cms
39,ORR witnesses 35% spike in fatal Road accidents this year,,https://timesofindia.indiatimes.com/city/hyderabad/orr-witnesses-35-spike-in-fatal-road-accidents-this-year/articleshow/88599888.cms
40,"Telangana: 3 killed, 1 injured in car-truck collision in Dundigal",Three persons were killed instantly and their friend suffered injuries in a Road accident after the car they were travelling in crashed into a parked truck at Dundigal on Sunday.,https://timesofindia.indiatimes.com/city/hyderabad/telangana-3-killed-1-injured-in-car-truck-collision-in-dundigal/articleshow/88234857.cms
41,3 accused in accidents sent to jail,,https://timesofindia.indiatimes.com/city/hyderabad/3-accused-in-accidents-sent-to-jail/articleshow/88152720.cms
42,Telangana student dies in US Road accident; another in coma,"A student from Telangana died, while another slipped into coma after a Road accident in Ohio in the US last week.",https://timesofindia.indiatimes.com/city/hyderabad/t-student-dies-in-us-road-accident-another-in-coma/articleshow/87991285.cms
43,Telangana: ORR witnesses 35% spike in fatal Road accidents this year,"With close to 60 deaths, Nehru Outer Ring Road saw a 35% spike in fatal road mishaps this year when compared to 2020, according to the latest data released by Rachakonda and Cyberabad police commissionerates.",https://timesofindia.indiatimes.com/city/hyderabad/orr-witnesses-35-spike-in-fatal-road-accidents-this-year/articleshow/88602032.cms
44,Couple killed in Road accident in Hyderabad,,https://timesofindia.indiatimes.com/city/hyderabad/couple-killed-in-a-road-accident-in-hyderabad/articleshow/83717996.cms
45,"Tractor overturns en route to idol immersion site, four killed",,https://timesofindia.indiatimes.com/city/hyderabad/tractor-overturns-en-route-to-idol-immersion-site-four-killed/articleshow/87093815.cms
46,Man dies after tipper crashes into bike,,https://timesofindia.indiatimes.com/city/hyderabad/man-dies-after-tipper-crashes-into-bike/articleshow/86920555.cms
47,2 dead in Road accident in Hyderabad,A 29-year-old man and his colleague's wife died in a Road accident in Hyderabad's Vanasthalipuram area on Tuesday.,https://timesofindia.indiatimes.com/city/hyderabad/2-dead-in-road-accident-in-hyderabad/articleshow/83176207.cms
