sno,h,sub_h,link
18,"Uttarakhand: 2 dead, 3 hurt in two Road accidents",At least two persons died while three others sustained injuries in two different Road accidents in Tehri Garhwal and Bageshwar districts on Saturday evening.,https://timesofindia.indiatimes.com/city/dehradun/uttarakhand-2-dead-3-hurt-in-two-road-accidents/articleshow/94125340.cms
19,Uttarakhand police to reward 'Good Samaritans' for helping victims of Road accident,"Uttarakhand police implemented the Good Samaritans scheme by the Ministry of Road Transport and Highways (MoRTH) on Saturday to reward people for helping Road accident victims. Giving details, state director general of police (DGP) Ashok Kumar said that the scheme is an effort to curb accidental deaths in the country and encourage people to help the victims.",https://timesofindia.indiatimes.com/city/dehradun/uttarakhand-police-to-reward-good-samaritans-for-helping-victims-of-road-accident/articleshow/93828348.cms
20,"Speeding truck hits motorbike in US Nagar, two killed",,https://timesofindia.indiatimes.com/city/dehradun/speeding-truck-hits-motorbike-in-us-nagar-two-killed/articleshow/92090060.cms
21,Noida resident among 2 dead in Road accident near Kotdwar,"Two persons, including a resident of Noida, were killed and one injured after the car in which they were travelling skidded off the road and fell into a ditch on the Kotdwar-Pokhara-Bajirao Road in Bironkhal block of Pauri Garhwal district on Tuesday.",https://timesofindia.indiatimes.com/city/dehradun/noida-resident-among-2-dead-in-road-accident-near-kotdwar/articleshow/94340049.cms
22,Two SSB jawans die in Road accident in Pithoragarh,Two jawans of the 11th battalion of the Sashastra Seema Bal died late on Sunday after their car fell into a 200-metre-deep gorge from the Thal-Didihat road in Pithoragarh.,https://timesofindia.indiatimes.com/city/dehradun/two-ssb-jawans-die-in-road-accident-in-pithoragarh/articleshow/91751085.cms
23,Haridwar: Kanwaria from UP died in Road accident,"A 23-year-old kanwaria, identified as Prakash Singh, died in a Road accident in Haridwar on Monday. The victim, a resident of Bala Nagal in Amroha (Uttar Pradesh), was returning from Haridwar on a bike with his friend Ranveer Singh after completing the kanwar yatra when a car hit them from behind. Prakash died on the spot, said police. Meanwhile, Ranveer, who was riding pillion, sustained injuries and is undergoing treatment. Police have impounded the car that was involved in the and are looking for its driver, who is absconding.",https://timesofindia.indiatimes.com/city/dehradun/haridwar-kanwaria-from-up-died-in-road-accident/articleshow/92967959.cms
24,State police to reward ‘Good Samaritans’ for helping victims of Road accident,Uttarakhand police implemented the Good Samaritans scheme by the Ministry of Road Transport and Highways (MoRTH) on Saturday to reward people for helping Road accident victims.,https://timesofindia.indiatimes.com/city/dehradun/state-police-to-reward-good-samaritans-for-helping-victims-of-road-accident/articleshow/93828593.cms
25,10 kanwarias killed in Uttarakhand Road accidents over weekend,"With huge influx of kanwarias into Haridwar in the last few days of the yatra, including dak kanwars (pilgrims who arrive on vehicles instead of on foot), accidents have dramatically increased in the temple town. Over the weekend, as many as 10 kanwarias, from Delhi, Haryana and Uttar Pradesh were killed in separate accidents in Haridwar and Roorkee.",https://timesofindia.indiatimes.com/city/dehradun/10-kanwarias-killed-in-uttarakhand-road-accidents-over-weekend/articleshow/93097541.cms
26,"One killed, five injured in Uttarkashi Road accident",A 43-year-old man died and five others sustained injuries after a pickup vehicle they were traveling in met an accident in the Barkot region of Uttarkashi district late on Wednesday evening.,https://timesofindia.indiatimes.com/city/dehradun/one-killed-five-injured-in-uttarkashi-road-accident/articleshow/92737738.cms
27,Uttarakhand bus accident: Death toll rises to 26; Shivraj Singh Chouhan reaches Dehradun,The number of people killed in bus accident in Uttarakashi has increased to 26 (including 25 pilgrims & a bus conductor) after late night rescue operation.,https://timesofindia.indiatimes.com/city/dehradun/uttarakhand-death-toll-rises-to-26-in-uttarkashi-bus-accident-4-injured/articleshow/92028659.cms
