sno,h,sub_h,link
21,Two Andhra Pradesh devotees die in Kerala Road accident,"Two residents of Kurnool district in Andhra Pradesh, who were part of a 60-member group on a pilgrimage to Lord Ayyappa Swamy temple at Sabarimala in Kerala, were killed in a Road accident on Thursday.",https://timesofindia.indiatimes.com/city/amaravati/two-andhra-pradesh-devotees-die-in-kerala-road-accident/articleshow/88194372.cms
22,Andhra Pradesh: 6 killed in Road accident near Tirupati,Six persons including an infant were killed in a Road accident at Ithepalli village near Tirupati on Sunday.,https://timesofindia.indiatimes.com/city/amaravati/andhra-pradesh-6-killed-in-road-accident-near-tirupati/articleshow/88106074.cms
23,Andhra Pradesh: Seven killed in two Road accidents in Anantapur,"Seven people, including five women, were killed in two separate Road accidents in Andhra Pradesh's Anantapur district on Friday, police said.",https://timesofindia.indiatimes.com/city/amaravati/andhra-pradesh-seven-killed-in-two-road-accidents-in-anantapur/articleshow/87538225.cms
24,TIRUPATI: SV Vedic university professor and his wife killed in Road accident,"Agnihotram Srinivasacharyulu, a professor at Sri Venkateswara Vedic university, Tirupati, breathed his last in a fatal Road accident at the Nellore-Prakasam border on Wednesday morning. His wife also succumbed to the injuries before being shifted for treatment.",https://timesofindia.indiatimes.com/city/amaravati/tirupati-sv-vedic-university-professor-and-his-wife-killed-in-road-accident/articleshow/88170000.cms
25,Andhra Pradesh: SV Vedic university professor and his wife killed in Road accident,,https://timesofindia.indiatimes.com/city/amaravati/andhra-pradesh-sv-vedic-university-professor-and-his-wife-killed-in-road-accident/articleshow/88168838.cms
26,"Andhra Pradesh: Four killed, Three hurt in Road accident",Four persons were killed and three others sustained injuries in a Road accident near Brahmamgari Matam in Kadapa district in the wee hours of Saturday.,https://timesofindia.indiatimes.com/city/amaravati/andhra-pradesh-four-killed-three-hurt-in-road-accident/articleshow/85145650.cms
27,Andhra Pradesh: 2 youngsters dead as speeding motorbike crashes into truck,Two youths were killed after the motorbike they were riding crashed into a truck from behind near Zoo Park Road in Andhra Pradesh's Tirupati city on Sunday.,https://timesofindia.indiatimes.com/city/amaravati/andhra-pradesh-2-youngsters-killed-as-speeding-motorbike-crashes-into-truck/articleshow/84116991.cms
28,Andhra Pradesh: Four killed and three injured in a Road accident in Kadapa district,Four persons were killed and three others sustained injuries in a Road accident reported near Brahmamgari matam mandal in Kadapa district in the early hours on Saturday.,https://timesofindia.indiatimes.com/city/amaravati/andhra-pradesh-four-killed-and-three-injured-in-a-road-accident-in-kadapa-district/articleshow/85130170.cms
29,"Andhra Pradesh: 2 minors killed, 3 injured in Road accident in Kurnool district",Two children aged less than 10 years were killed on the spot while three others sustained injuries after a speeding auto in which they were travelling overturned in Peapully mandal of Kurnool district on Monday.,https://timesofindia.indiatimes.com/city/amaravati/andhra-pradesh-2-minors-killed-3-injured-in-road-accident-in-kurnool-district/articleshow/84145714.cms
30,"Andhra Pradesh: One dead, 17 injured in Anantapur accident",A 35-year-old woman died on the spot while 17 others sustained injuries after the auto they were travelling in overturned on the National Highway near Guntakal in Anantapur district in the early hours on Sunday.,https://timesofindia.indiatimes.com/city/amaravati/andhra-pradesh-one-dead-17-injured-in-anantapur-accident/articleshow/80321276.cms
31,Andhra Pradesh: Three killed in Road accident in Anantapur district,Three persons triple riding on a motorbike were killed in a Road accident reported in Anantapur district.,https://timesofindia.indiatimes.com/city/amaravati/andhra-pradesh-three-killed-in-road-accident-in-anantapur-district/articleshow/77978647.cms
32,Andhra Pradesh: Two girl children below ten years orphaned after both their parents die in Road accident,,https://timesofindia.indiatimes.com/city/amaravati/andhra-pradesh-two-girl-children-below-ten-years-orphaned-after-both-their-parents-die-in-road-accident/articleshow/84646394.cms
33,"Andhra Pradesh: Woman, two children killed in Road accident near Tirupati",,https://timesofindia.indiatimes.com/city/amaravati/andhra-pradesh-woman-two-children-killed-in-road-accident-near-tirupati/articleshow/78316236.cms
34,"Andhra Pradesh: Three killed, three injured in Road accident near Tadipatri",,https://timesofindia.indiatimes.com/city/amaravati/andhra-pradesh-three-killed-three-injured-in-road-accident-near-tadipatri/articleshow/78130859.cms
35,Six killed in Andhra Pradesh Road accident,"Six persons including two women died while four others were injured when their car rammed into a truck near Guravarajupalle, 20 km from here, on Friday, police said.",https://timesofindia.indiatimes.com/city/amaravati/six-killed-in-andhra-pradesh-road-accident/articleshow/69686581.cms
36,Andhra Pradesh: Five killed as vehicle plunges into canal in Srikakulam,"Five persons, including two women and two children, were killed in a Road accident on Kottapalli bridge in Mandasa Mandal in Srikakulam district in the early hours of Saturday when the vehicle they were travelling in skidded off and plunged into a canal.",https://timesofindia.indiatimes.com/city/amaravati/srikakulam-five-killed-as-vehicle-plunges-into-canal/articleshow/73094678.cms
