sno,h,sub_h,link
29,2 bros killed in Road accident,Two siblings walking back home died on the spot after an unidentified vehicle hit them in Anuppur district.The incident took place on Anuppur-Jaithari main road at around 1 am.,https://timesofindia.indiatimes.com/city/bhopal/2-bros-killed-in-road-accident/articleshow/95544648.cms
30,Koh-e-Fiza most accident prone area in Bhopal,"The Kohefiza area in Bhopal is a location where a lot of Road accidents happen. Twenty-three people have died in these accidents so far this year, which is the highest number of casualties in Road accidents reported at a police station during the period. Kohefiza is followed by Misrod Road in which 17 people lost their lives in s during the same period.",https://timesofindia.indiatimes.com/city/bhopal/koh-e-fiza-most-accident-prone-area-in-city/articleshow/96696478.cms
31,Dubious distinction: Bhopal records 4th highest Road accident deaths in India,"In India, the city of Bhopal is known for having a high rate of Road accidents due to overspeeding. The Union Ministry of Road Transport and Highways released a report on December 28 that showed that around 216 of the total 253 people that died on city roads in 2021 were linked to overspeeding. This increase was also seen in other years, with 2190 s being audited in the year.",https://timesofindia.indiatimes.com/city/bhopal/dubious-distinction-bhopal-records-4th-highest-road-accident-deaths-in-india/articleshow/96696468.cms
32,Madhya Pradesh: Gunman dies in Road accident,"Gunman of a sub-divisional officer of police (SDOP) posted in Satna district died, while the officer had a narrow escape as their vehicle overturned after colliding head on with a jeep in neighbouring Uttar Pradesh.",https://timesofindia.indiatimes.com/city/bhopal/gunman-dies-in-road-accident/articleshow/95972726.cms
33,Four injured in three accidents in Malwa-Nimar region,"A truck hit a loading vehicle from behind, injuring the driver and conductor of the loading vehicle. Locals rushed to the scene and informed the police. The truck driver left the vehicle behind and fled the scene. The police have seized the truck and registered a case of rash driving. In another accident, a man was injured and rushed to a private hospital. The police have registered cases in both accidents.",https://timesofindia.indiatimes.com/city/indore/four-injured-in-three-accidents-in-malwa-nimar-region/articleshow/96532102.cms
34,4 dead after car rams into truck on highway in MP's Betul,"Four people died in a car crash on the Bhopal-Nagpur Highway in Bhilai village, Madhya Pradesh on Saturday.",https://timesofindia.indiatimes.com/city/bhopal/4-dead-after-car-rams-into-truck-on-highway-in-mps-betul/articleshow/96476062.cms
35,"Constable dead, 3 others injured in Road accident in MP's Shajapur district","A police constable died, while three other persons including an inspector sustained injuries in a Road accident in Maksi police station in Shajapur district.",https://timesofindia.indiatimes.com/city/bhopal/constable-dead-3-others-injured-in-road-accident-in-mps-shajapur-district/articleshow/97429882.cms
36,"2 from a family die in Mandla Road accident, 14 injured","Two people were killed in Mandla district when a pick-van they were travelling in overturned.Bamhni police station incharge, Nilesh Dohare said, “Members of Dohare family were going to the bank of Narmada river for the immersion of mortal remains of their deceased family member.",https://timesofindia.indiatimes.com/city/bhopal/2-from-a-family-die-in-mandla-road-accident-14-injured/articleshow/96385732.cms
37,"Three killed, six injured in Road accident in Madhya Pradesh's Barwani district","The collision caused the pick-up vehicle to overturn and trap the passengers, he said adding the larger vehicle fled the spot, leaving behind the victims, most of whom fell unconscious.",https://timesofindia.indiatimes.com/city/indore/three-killed-six-injured-in-road-accident-in-madhya-pradeshs-barwani-district/articleshow/97369044.cms
38,"1 killed, four injured in 2 Road accidents in Indore division","A man was killed and four others were injured in two accidents in Indore Division on Monday morning. The first accident happened in Ratlam District when a couple riding a bike was hit by an earth mover from the front in Matwala village. The husband, Babulal Singar, died on the spot and his wife, Seeta Singar, was injured. Their child, Tejpal, had a close shave in the accident. Police said the family residents of Banswara District in Rajasthan were traveling from Barkheda to Bajna when the accident took place. They were rushed to hospital by their relatives traveling with them on another vehicle. Doctors declared Babulal dead and Seeta was admitted for treatment. Police said Rawati Police Station incharge, Patiram Rawate, told TOI, ""The death has been recorded and the earth mover has been seized. The investigations further in the matter are ongoing."" In another accident, three youths were injured after being hit by a crane around 4 am in Burhanpur. They were admitted to a private hospital for treatment. Police said the injured were identified as Abhilash Kumar 26, Anil Gadhe 26, and Ajay Ghete 28. They were returning",https://timesofindia.indiatimes.com/city/indore/1-killed-four-injured-in-2-road-accidents-in-indore-division/articleshow/96869852.cms
39,Three die in Bhopal Road accidents,A speeding bike-borne man allegedly into two women walking ahead in front of Lal Parade Ground in Jehangirabad locality on Wednesday evening. The collision was so intense that 19-year-old Savitri Dhurvey was thrown on the divider and she sustained severe head injuries.,https://timesofindia.indiatimes.com/city/bhopal/three-die-in-bhopal-road-accidents/articleshow/94999933.cms
40,"3 killed, 7 injured as vehicle rams into tree in Madhya Pradesh's Barwani","Three men were killed and seven others suffered injuries when a pick-up vehicle carrying villagers, on way to see a Kabaddi match, rammed into a tree in Barwani district of Madhya Pradesh late on Monday night.",https://timesofindia.indiatimes.com/city/indore/3-killed-7-injured-as-vehicle-rams-into-tree-in-madhya-pradeshs-barwani/articleshow/93875290.cms
41,4 of family killed as bike hits bus in Madhya Pradesh's Dhar,"Four members of a family, including two kids, were killed when their bike was hit by a speeding inter-city bus on Rau Khalghat fourlane in Dhamnod of Dhar district on Saturday night.",https://timesofindia.indiatimes.com/city/indore/4-of-family-killed-as-bike-hits-bus-in-madhya-pradeshs-dhar/articleshow/95335189.cms
42,Indore: Three die in Road accident on Bypass,At least three persons including a veterinary doctor have died in a Road accident on bypass in Lasudia police station area when a speeding truck hit them on Thursday evening. The police seized the truck from the spot.,https://timesofindia.indiatimes.com/city/indore/indore-three-die-in-road-accident-on-bypass/articleshow/94574501.cms
43,2 helmetless youths die in bike accident,Two helmetless youths on a bike died in a Road accident in Balaghat district on Friday night. The incident took place near Tekadi village under Rampaily police station late on Friday. The bodies were taken for postmortem before being handed over to the kin.,https://timesofindia.indiatimes.com/city/bhopal/2-helmetless-youths-die-in-bike-accident/articleshow/95174166.cms
44,26 ‘black spots’ across Madhya Pradesh to be mended to stop accidents,"The public works department (PWD) minister Gopal Bhargava on Friday claimed that 26 ‘black spots’ identified across the state, which lead to Road accidents, will be removed in the next one year by spending around Rs 50 crore.",https://timesofindia.indiatimes.com/city/indore/26-black-spots-across-mp-to-be-mended-to-stop-accidents/articleshow/95155877.cms
45,Madhya Pradesh: 4 of a family killed in Road accident,Four members of a family including two kids were killed when their bike was hit by a speeding inter-city bus on Rau Khalghat four-lane in Kakarda area on Dhar Khargone border on Saturday.,https://timesofindia.indiatimes.com/city/indore/madhya-pradesh-4-of-a-family-killed-in-road-accident/articleshow/95349331.cms
46,"4 school students killed, 11 injured as tempo hits truck in Madhya Pradesh's Ujjain",Four school students died and 11 others sustained grievous injuries when tempo collided with a truck near Hatai Palki area in Ujjain district on Monday morning.,https://timesofindia.indiatimes.com/city/indore/4-students-killed-11-injured-as-tempo-hits-truck-in-madhya-pradeshs-ujjain/articleshow/93707316.cms
47,Sub-inspector died among 3 dead in Road accidents,Three people including a police sub-inspector died in separate Road accidents in the city on Saturday.,https://timesofindia.indiatimes.com/city/bhopal/si-among-3-dead-in-road-accidents/articleshow/95190914.cms
48,"5 killed, 3 injured in Road accident in Madhya Pradesh's Morena","As many as five persons were killed and three sustained injuries after a Bolero and a dumper collided on NH 44 near Ghuraiya Hotel under Noorabad police station limits, Morena in the early hours of Wednesday, an official said.",https://timesofindia.indiatimes.com/city/bhopal/5-killed-3-injured-in-road-accident-in-madhya-pradeshs-morena/articleshow/95246930.cms
49,Madhya Pradesh: Three riding motorcycle killed in Road accident,"A couple and their seven-year-old son were killed when an unidentified vehicle hit their motorcycle on a national highway in Rajgarh district of Madhya Pradesh, police said on Tuesday.",https://timesofindia.indiatimes.com/city/bhopal/madhya-pradesh-three-riding-motorcycle-killed-in-road-accident/articleshow/94788476.cms
50,Two die in Road accidents,A 32-year-old bike-borne woman died while her husband and two kids sustained critical injuries after a speeding car knocked them down at Bhopal-Berasia highway on Wednesday. She was identified as Malti Raikwar.,https://timesofindia.indiatimes.com/city/bhopal/two-die-in-road-accidents/articleshow/92424711.cms
51,"One killed, 7 of a family injured in Mhow Road accident",A 50-year-old driver was killed and seven members of a family were injured in a Road accident in Mhow on Wednesday night.,https://timesofindia.indiatimes.com/city/indore/one-killed-7-of-a-family-injured-in-mhow-road-accident/articleshow/95133528.cms
52,Betul car-bus collision: 11 killed in Madhya Pradesh Road accident,At least 11 people including two kids were killed after a car collided head-on with a bus in Madhya Pradesh's Betul district early on Friday. All the occupants in the car died.,https://timesofindia.indiatimes.com/city/bhopal/madhya-pradesh-11-killed-in-car-bus-collision-in-betul/articleshow/95291059.cms
53,2 die in Road accidents in 24 hours,A 45-year-old man died after a speeding car knocked him down near Ret Ghat Talaiya police outpost on Thursday. Police said that the deceased was identified as Jitendra Rawat. The car also turned turtle and the accused driver managed to escape the spot.,https://timesofindia.indiatimes.com/city/bhopal/2-die-in-road-accidents-in-24-hours/articleshow/92911367.cms
54,Two killed in Road accidents in Indore,"Two persons were killed in two separate Road accidents on Thursday night. The police said that a 42-year-old woman Bhuribai was killed when a motorcycle she was riding on with her relative was hit from behind by a tractor trolley near Aanchal Medical School in Gautampura area. Due to the impact, Bhuribai fell on the road and came under wheels of the tractor. She died on the spot, while her relative was unhurt.",https://timesofindia.indiatimes.com/city/indore/two-killed-in-road-accidents-in-indore/articleshow/92137840.cms
55,2 die in Road accidents in Bhopal in 24 hours,Two people died in two separate Road accidents in the city during the past 24 hours.,https://timesofindia.indiatimes.com/city/bhopal/2-die-in-road-accidents-in-24-hours/articleshow/93402166.cms
